date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1,moneyline_home,moneyline_away
2016-09-08,2016,0,0,DEN,CAR,1637.113158,1633.579265,0.59736859,21,20,1,,
2016-09-11,2016,0,0,NO,OAK,1463.500031,1454.892729,0.604372518,34,35,0,,
2016-09-11,2016,0,0,KC,LAC,1621.075409,1438.439525,0.806200248,33,27,1,,
2016-09-11,2016,0,0,TEN,MIN,1349.452615,1567.160011,0.293373761,16,25,0,,
2016-09-11,2016,0,0,JAX,GB,1388.724059,1582.435886,0.322801941,23,27,0,,
2016-09-11,2016,0,0,NYJ,CIN,1522.163909,1578.458118,0.512526019,22,23,0,,
2016-09-11,2016,0,0,ATL,TB,1485.832974,1412.236496,0.689509134,24,31,0,,
2016-09-11,2016,0,0,PHI,CLE,1487.849378,1394.516013,0.713294764,29,10,1,,
2016-09-11,2016,0,0,HOU,CHI,1505.682274,1444.023061,0.674609727,23,14,1,,
2016-09-11,2016,0,0,BAL,BUF,1475.498332,1518.80809,0.531174279,13,7,1,,
2016-09-11,2016,0,0,SEA,MIA,1634.558698,1438.738148,0.817783751,12,10,1,,
2016-09-11,2016,0,0,IND,DET,1484.302061,1502.853159,0.566449924,35,39,0,,
2016-09-11,2016,0,0,DAL,NYG,1445.987894,1468.877982,0.560306026,19,20,0,,
2016-09-11,2016,0,0,ARI,NE,1612.613224,1605.421756,0.602422106,21,23,0,,
2016-09-12,2016,0,0,WSH,PIT,1496.281878,1591.358562,0.456823971,16,38,0,,
2016-09-12,2016,0,0,SF,LAR,1437.344601,1479.228037,0.533218407,28,0,1,,
2016-09-15,2016,0,0,BUF,NYJ,1500.740369,1515.030562,0.572463451,31,37,0,,
2016-09-18,2016,0,0,NYG,NO,1476.797051,1454.831622,0.622603436,16,13,1,,
2016-09-18,2016,0,0,CLE,BAL,1378.491453,1493.566054,0.42843172,20,25,0,,
2016-09-18,2016,0,0,NE,MIA,1619.107407,1435.158797,0.80737818,31,24,1,,
2016-09-18,2016,0,0,CAR,SF,1628.166234,1468.453557,0.784747483,46,27,1,,
2016-09-18,2016,0,0,DET,TEN,1521.479744,1336.819172,0.808014752,15,16,0,,
2016-09-18,2016,0,0,PIT,CIN,1619.619578,1585.591465,0.638775091,24,16,1,,
2016-09-18,2016,0,0,WSH,DAL,1468.020862,1438.068825,0.633343587,23,27,0,,
2016-09-18,2016,0,0,HOU,KC,1519.851305,1627.854663,0.438427302,19,12,1,,
2016-09-18,2016,0,0,ARI,TB,1598.927573,1442.84037,0.781201216,40,7,1,,
2016-09-18,2016,0,0,LAR,SEA,1448.119081,1638.138049,0.327466309,9,3,1,,
2016-09-18,2016,0,0,OAK,ATL,1463.561137,1455.2291,0.603993578,28,35,0,,
2016-09-18,2016,0,0,DEN,IND,1642.526189,1465.675476,0.800943965,34,20,1,,
2016-09-18,2016,0,0,LAC,JAX,1431.660272,1378.907771,0.663255965,38,14,1,,
2016-09-18,2016,0,0,MIN,GB,1579.793454,1592.252174,0.5750418,17,14,1,,
2016-09-19,2016,0,0,CHI,PHI,1429.85403,1503.873937,0.487022225,14,29,0,,
2016-09-22,2016,0,0,NE,HOU,1626.303972,1543.672081,0.700533048,27,0,1,,
2016-09-25,2016,0,0,CAR,MIN,1639.867791,1591.30097,0.657853481,10,22,0,,
2016-09-25,2016,0,0,BUF,ARI,1477.935469,1612.949698,0.400583535,33,18,1,,
2016-09-25,2016,0,0,JAX,BAL,1358.330406,1508.577312,0.37972382,17,19,0,,
2016-09-25,2016,0,0,GB,DET,1580.744658,1508.844396,0.687414893,34,27,1,,
2016-09-25,2016,0,0,NYG,WSH,1486.862808,1446.714746,0.646863562,27,29,0,,
2016-09-25,2016,0,0,MIA,CLE,1427.962233,1363.480195,0.678166505,30,24,1,,
2016-09-25,2016,0,0,CIN,DEN,1570.401369,1652.239463,0.475786988,17,29,0,,
2016-09-25,2016,0,0,TEN,OAK,1349.45452,1437.575581,0.466775152,10,17,0,,
2016-09-25,2016,0,0,SEA,SF,1610.387258,1456.752001,0.778779104,37,18,1,,
2016-09-25,2016,0,0,TB,LAR,1428.818244,1475.869872,0.525806831,32,37,0,,
2016-09-25,2016,0,0,PHI,PIT,1530.769911,1634.809674,0.444052531,34,3,1,,
2016-09-25,2016,0,0,KC,NYJ,1604.033887,1537.835462,0.680319144,24,3,1,,
2016-09-25,2016,0,0,IND,LAC,1455.962202,1452.237637,0.597632556,26,22,1,,
2016-09-25,2016,0,0,DAL,CHI,1459.374941,1402.958056,0.66795089,31,17,1,,
2016-09-26,2016,0,0,NO,ATL,1444.765865,1481.214657,0.540996249,32,45,0,,
2016-09-29,2016,0,0,CIN,MIA,1546.179366,1439.791214,0.72841376,22,7,1,,
2016-10-02,2016,1,0,JAX,IND,1350.298256,1468.521575,0.336138976,30,27,1,,
2016-10-02,2016,0,0,ATL,CAR,1510.144506,1604.283676,0.458163411,48,33,1,,
2016-10-02,2016,0,0,WSH,CLE,1461.641194,1351.651214,0.732495988,31,20,1,,
2016-10-02,2016,0,0,NE,BUF,1645.006625,1512.266757,0.757364106,0,16,0,,
2016-10-02,2016,0,0,BAL,OAK,1516.609462,1456.786317,0.672285386,27,28,0,,
2016-10-02,2016,0,0,HOU,TEN,1524.969428,1330.243784,0.816842669,27,20,1,,
2016-10-02,2016,0,0,CHI,DET,1385.914564,1496.605915,0.434621333,17,14,1,,
2016-10-02,2016,0,0,NYJ,SEA,1519.184766,1622.443485,0.445162747,17,27,0,,
2016-10-02,2016,0,0,TB,DEN,1409.82087,1676.461466,0.238533471,7,27,0,,
2016-10-02,2016,0,0,LAC,NO,1439.678263,1415.836016,0.625138614,34,35,0,,
2016-10-02,2016,0,0,SF,DAL,1444.695773,1476.418432,0.547744034,17,24,0,,
2016-10-02,2016,0,0,ARI,LAR,1578.618411,1494.867247,0.701882965,13,17,0,,
2016-10-02,2016,0,0,PIT,KC,1595.578155,1622.684582,0.554318026,43,14,1,,
2016-10-03,2016,0,0,MIN,NYG,1626.885085,1471.93636,0.780078971,24,10,1,,
2016-10-06,2016,0,0,SF,ARI,1421.565875,1554.387303,0.403618238,21,33,0,,
2016-10-09,2016,0,0,DET,PHI,1480.597821,1570.00143,0.464938024,24,23,1,,
2016-10-09,2016,0,0,CLE,NE,1339.336303,1597.852882,0.247131318,13,33,0,,
2016-10-09,2016,0,0,BAL,WSH,1506.729013,1473.956105,0.637106192,10,16,0,,
2016-10-09,2016,0,0,MIN,HOU,1637.713627,1531.782406,0.727893101,31,13,1,,
2016-10-09,2016,0,0,PIT,NYJ,1625.381853,1498.200614,0.751435712,31,13,1,,
2016-10-09,2016,0,0,MIA,TEN,1425.819707,1323.430806,0.723835604,17,30,0,,
2016-10-09,2016,0,0,IND,CHI,1449.070162,1401.922658,0.656012139,29,23,1,,
2016-10-09,2016,0,0,DEN,ATL,1689.766414,1540.593607,0.774321856,16,23,0,,
2016-10-09,2016,0,0,OAK,LAC,1466.666766,1430.647306,0.641415877,34,31,1,,
2016-10-09,2016,0,0,DAL,CIN,1499.548331,1560.150872,0.506328113,28,14,1,,
2016-10-09,2016,0,0,LAR,BUF,1519.098354,1559.4205,0.535454683,19,30,0,,
2016-10-09,2016,0,0,GB,NYG,1592.983138,1461.107818,0.756448391,23,16,1,,
2016-10-10,2016,0,0,CAR,TB,1573.834575,1396.515922,0.801373077,14,17,0,,
2016-10-13,2016,0,0,LAC,DEN,1421.14172,1654.090142,0.275521018,21,13,1,,
2016-10-16,2016,0,0,NO,CAR,1424.866973,1548.86559,0.415900974,41,38,1,,
2016-10-16,2016,0,0,BUF,SF,1586.333487,1401.479877,0.808187072,45,16,1,,
2016-10-16,2016,0,0,DET,LAR,1488.098557,1492.185367,0.586773862,31,28,1,,
2016-10-16,2016,0,0,TEN,CLE,1364.781913,1325.504997,0.645717203,28,26,1,,
2016-10-16,2016,0,0,CHI,JAX,1389.184605,1369.749669,0.619174662,16,17,0,,
2016-10-16,2016,0,0,WSH,PHI,1499.90433,1562.500694,0.503459056,27,20,1,,
2016-10-16,2016,0,0,NYG,BAL,1451.810773,1480.780788,0.551666239,27,23,1,,
2016-10-16,2016,0,0,MIA,PIT,1384.468599,1638.843553,0.251593825,30,15,1,,
2016-10-16,2016,0,0,NE,CIN,1611.684188,1533.466445,0.695175387,35,17,1,,
2016-10-16,2016,0,0,OAK,KC,1476.172352,1592.880884,0.426130046,10,26,0,,
2016-10-16,2016,0,0,SEA,ATL,1643.427637,1576.269878,0.681518979,26,24,1,,
2016-10-16,2016,0,0,GB,DAL,1602.280183,1526.232758,0.692521528,16,30,0,,
2016-10-16,2016,0,0,HOU,IND,1516.913609,1461.808215,0.66627434,26,23,1,,
2016-10-17,2016,0,0,ARI,NYJ,1574.473301,1484.738915,0.709039295,28,3,1,,
2016-10-20,2016,0,0,GB,CHI,1562.20308,1380.25844,0.805577787,26,10,1,,
2016-10-23,2016,1,0,LAR,NYG,1481.036981,1466.009543,0.521612746,10,17,0,,
2016-10-23,2016,0,0,PHI,MIN,1541.872674,1652.582424,0.434595309,21,10,1,,
2016-10-23,2016,0,0,MIA,BUF,1429.877857,1598.050644,0.355738153,28,25,1,,
2016-10-23,2016,0,0,TEN,IND,1372.21403,1453.034368,0.477248426,26,34,0,,
2016-10-23,2016,0,0,CIN,CLE,1516.612848,1318.07288,0.820104848,31,17,1,,
2016-10-23,2016,0,0,DET,WSH,1499.246944,1520.53235,0.562580472,20,17,1,,
2016-10-23,2016,0,0,KC,NO,1616.472731,1441.507906,0.7992075,27,21,1,,
2016-10-23,2016,0,0,JAX,OAK,1378.675835,1452.580506,0.487187954,16,33,0,,
2016-10-23,2016,0,0,NYJ,BAL,1467.025225,1466.582018,0.593082098,24,16,1,,
2016-10-23,2016,0,0,ATL,LAC,1569.66868,1455.609887,0.737060356,30,33,0,,
2016-10-23,2016,0,0,SF,TB,1389.76272,1421.484906,0.547744709,17,34,0,,
2016-10-23,2016,0,0,PIT,NE,1593.434295,1628.537786,0.542918658,16,27,0,,
2016-10-23,2016,0,0,ARI,SEA,1592.186991,1650.028835,0.510299957,6,6,0.5,,
2016-10-24,2016,0,0,DEN,HOU,1619.621975,1525.687456,0.714001938,27,9,1,,
2016-10-27,2016,0,0,TEN,JAX,1351.391328,1350.626281,0.593529133,36,22,1,,
2016-10-30,2016,1,0,CIN,WSH,1525.313849,1508.640794,0.523976052,27,27,0.5,,
2016-10-30,2016,0,0,CAR,ARI,1532.224658,1591.872858,0.50770125,30,20,1,,
2016-10-30,2016,0,0,HOU,DET,1509.980123,1511.1385,0.590855217,20,13,1,,
2016-10-30,2016,0,0,IND,KC,1473.85707,1623.518678,0.380517711,14,30,0,,
2016-10-30,2016,0,0,BUF,NE,1579.30899,1655.891549,0.483337531,25,41,0,,
2016-10-30,2016,0,0,TB,OAK,1453.634934,1480.630059,0.554476306,24,30,0,,
2016-10-30,2016,0,0,NO,SEA,1434.461959,1650.342968,0.295557999,25,20,1,,
2016-10-30,2016,0,0,CLE,NYJ,1309.371879,1484.390463,0.3467586,28,31,0,,
2016-10-30,2016,0,0,DEN,LAC,1635.329308,1477.856173,0.782561815,27,19,1,,
2016-10-30,2016,0,0,ATL,GB,1547.422395,1572.108062,0.557758004,33,32,1,,
2016-10-30,2016,0,0,DAL,PHI,1566.309861,1570.568448,0.586534079,29,23,1,,
2016-10-31,2016,0,0,CHI,MIN,1370.353458,1623.88665,0.252507317,20,10,1,,
2016-11-03,2016,0,0,TB,ATL,1431.676379,1553.442847,0.419025751,28,43,0,,
2016-11-06,2016,0,0,BAL,PIT,1449.21678,1566.080532,0.425911556,21,14,1,,
2016-11-06,2016,0,0,KC,JAX,1644.281432,1329.250405,0.899133571,19,14,1,,
2016-11-06,2016,0,0,MIA,NYJ,1448.61951,1493.546761,0.528854912,27,23,1,,
2016-11-06,2016,0,0,MIN,DET,1584.678444,1494.602504,0.709444749,16,22,0,,
2016-11-06,2016,0,0,CLE,DAL,1300.215581,1581.96887,0.223092947,10,35,0,,
2016-11-06,2016,0,0,NYG,PHI,1487.852005,1554.909439,0.49703915,28,23,1,,
2016-11-06,2016,0,0,SF,NO,1357.612693,1461.564527,0.444177491,23,41,0,,
2016-11-06,2016,0,0,LAR,CAR,1459.194518,1555.77698,0.454673959,10,13,0,,
2016-11-06,2016,0,0,GB,IND,1566.087609,1453.094317,0.735869939,26,31,0,,
2016-11-06,2016,0,0,LAC,TEN,1469.178486,1372.767205,0.716904436,43,35,1,,
2016-11-06,2016,0,0,OAK,DEN,1502.588613,1644.006995,0.391764901,30,20,1,,
2016-11-07,2016,0,0,SEA,BUF,1623.2404,1552.06446,0.686518262,31,25,1,,
2016-11-10,2016,0,0,BAL,CLE,1473.668891,1286.982221,0.809817525,28,7,1,,
2016-11-13,2016,0,0,NO,DEN,1487.266533,1613.787625,0.412377906,23,25,0,,
2016-11-13,2016,0,0,NYJ,LAR,1478.518305,1446.766689,0.635745857,6,9,0,,
2016-11-13,2016,0,0,TEN,GB,1361.177068,1537.396268,0.345194735,47,25,1,,
2016-11-13,2016,0,0,PHI,ATL,1536.86887,1576.0941,0.537024978,24,15,1,,
2016-11-13,2016,0,0,TB,CHI,1409.025127,1409.561663,0.591720287,36,10,1,,
2016-11-13,2016,0,0,WSH,MIN,1509.372027,1554.974313,0.527886586,26,20,1,,
2016-11-13,2016,0,0,JAX,HOU,1326.168252,1526.516119,0.314508509,21,24,0,,
2016-11-13,2016,0,0,CAR,KC,1568.204809,1647.363584,0.479635158,17,20,0,,
2016-11-13,2016,0,0,LAC,MIA,1480.768623,1463.647966,0.616028405,24,31,0,,
2016-11-13,2016,0,0,ARI,SF,1568.320535,1331.910687,0.850057813,23,20,1,,
